SMILES,Protein,Y
BrCCBr,CYP1A2,0
BrCCBr,CYP2A6,1
BrCCBr,CYP2B6,1
BrCCBr,CYP2C8,0
BrCCBr,CYP2C9,0
BrCCBr,CYP2E1,1
BrCCBr,CYP3A4,0
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,CYP1A2,0
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,CYP2A6,0
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,CYP2B6,1
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,CYP2C8,0
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,CYP2C9,0
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,CYP2D6,0
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,CYP2E1,0
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP1A2,1
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP2A6,1
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP2B6,1
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP2C19,0
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP2C8,0
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP2C9,0
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP2D6,0
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP2E1,0
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,CYP3A4,1
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,CYP1A2,0
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,CYP2A6,0
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,CYP2B6,1
