iter	Passed	Remaining
0	9	8999
1	16	7988
2	24	8140
3	31	7865
4	39	7844
5	47	7794
6	55	7802
7	62	7715
8	69	7628
9	76	7592
10	84	7574
11	92	7647
12	100	7642
13	108	7655
14	115	7605
15	123	7576
16	133	7744
17	141	7698
18	148	7684
19	156	7672
20	164	7653
21	171	7645
22	179	7607
23	186	7584
24	195	7624
25	202	7592
26	209	7560
27	218	7575
28	225	7548
29	232	7501
30	238	7465
31	246	7444
32	253	7429
33	260	7408
34	267	7379
35	274	7346
36	280	7312
37	287	7281
38	294	7258
39	301	7231
40	307	7202
41	314	7179
42	321	7157
43	328	7129
44	334	7105
45	341	7081
46	350	7100
47	357	7085
48	364	7068
49	371	7051
50	377	7030
51	384	7017
52	391	6990
53	399	6992
54	405	6970
55	412	6949
56	419	6936
57	426	6924
58	433	6920
59	441	6917
60	448	6901
61	455	6893
62	464	6911
63	472	6907
64	479	6891
65	488	6907
66	496	6910
67	503	6905
68	511	6900
69	518	6883
70	524	6865
71	531	6851
72	538	6835
73	547	6848
74	554	6834
75	561	6829
76	570	6843
77	578	6835
78	586	6840
79	593	6825
80	600	6808
81	606	6793
82	613	6783
83	621	6772
84	627	6759
85	634	6745
86	641	6734
87	648	6722
88	655	6709
89	662	6703
90	670	6698
91	678	6693
92	684	6679
93	691	6668
94	700	6672
95	707	6663
96	714	6652
97	721	6636
98	728	6626
99	735	6618
100	742	6609
101	750	6608
102	757	6594
103	764	6584
104	772	6581
105	779	6572
106	786	6563
107	793	6553
108	800	6543
109	807	6533
110	814	6524
111	821	6511
112	828	6505
113	835	6492
114	843	6489
115	850	6477
116	857	6474
117	864	6460
118	871	6450
119	878	6442
120	884	6428
121	892	6424
122	900	6419
123	909	6422
124	919	6434
125	926	6429
126	933	6419
127	942	6418
128	949	6414
129	957	6404
130	965	6406
131	974	6405
132	981	6397
133	988	6390
134	996	6382
135	1003	6374
136	1011	6370
137	1019	6367
138	1027	6363
139	1034	6356
140	1042	6352
141	1050	6346
142	1057	6337
143	1065	6333
144	1072	6323
145	1079	6317
146	1088	6314
147	1096	6311
148	1105	6314
149	1113	6309
150	1121	6304
151	1128	6293
152	1134	6281
153	1141	6271
154	1149	6264
155	1155	6253
156	1163	6245
157	1170	6235
158	1177	6228
159	1186	6228
160	1194	6223
161	1202	6218
162	1209	6209
163	1216	6202
164	1225	6200
165	1232	6194
166	1240	6187
167	1247	6178
168	1254	6170
169	1261	6161
170	1268	6151
171	1275	6141
172	1283	6134
173	1291	6128
174	1297	6118
175	1304	6108
176	1312	6101
177	1319	6093
178	1326	6083
179	1335	6084
180	1344	6085
181	1351	6075
182	1358	6063
183	1364	6053
184	1372	6044
185	1380	6041
186	1387	6033
187	1394	6022
188	1401	6013
189	1408	6006
190	1415	5996
191	1422	5985
192	1429	5977
193	1438	5975
194	1446	5970
195	1453	5962
196	1462	5960
197	1469	5951
198	1477	5945
199	1485	5941
200	1494	5939
201	1502	5933
202	1510	5931
203	1519	5929
204	1527	5923
205	1534	5914
206	1541	5905
207	1548	5897
208	1557	5894
209	1565	5889
210	1573	5882
211	1580	5873
212	1587	5867
213	1595	5861
214	1602	5852
215	1613	5857
216	1622	5852
217	1629	5844
218	1636	5836
219	1643	5827
220	1650	5818
221	1657	5808
222	1664	5798
223	1670	5788
224	1677	5778
225	1684	5769
226	1691	5758
227	1698	5751
228	1706	5746
229	1715	5741
230	1721	5732
231	1730	5728
232	1739	5725
233	1746	5718
234	1753	5709
235	1761	5702
236	1768	5693
237	1775	5685
238	1783	5679
239	1790	5670
240	1797	5661
241	1805	5655
242	1812	5647
243	1822	5646
244	1829	5638
245	1838	5635
246	1845	5626
247	1852	5617
248	1859	5608
249	1866	5599
250	1872	5587
251	1880	5582
252	1887	5573
253	1894	5564
254	1901	5555
255	1908	5546
256	1915	5539
257	1922	5530
258	1928	5518
259	1936	5510
260	1943	5502
261	1951	5497
262	1958	5487
263	1965	5479
264	1972	5471
265	1979	5462
266	1988	5457
267	1997	5454
268	2005	5449
269	2013	5443
270	2021	5437
271	2028	5428
272	2034	5418
273	2041	5409
274	2048	5400
275	2056	5393
276	2062	5384
277	2069	5374
278	2076	5365
279	2082	5355
280	2089	5345
281	2096	5338
282	2103	5328
283	2110	5320
284	2116	5310
285	2123	5302
286	2130	5292
287	2137	5284
288	2144	5276
289	2152	5269
290	2158	5259
291	2167	5254
292	2174	5247
293	2182	5240
294	2189	5231
295	2197	5225
296	2203	5216
297	2211	5209
298	2218	5200
299	2225	5192
300	2232	5183
301	2240	5178
302	2247	5169
303	2253	5160
304	2261	5152
305	2268	5145
306	2275	5137
307	2283	5129
308	2289	5120
309	2297	5114
310	2305	5107
311	2311	5098
312	2320	5092
313	2326	5083
314	2334	5076
315	2341	5068
316	2349	5061
317	2357	5056
318	2364	5048
319	2372	5041
320	2379	5033
321	2386	5025
322	2394	5018
323	2401	5010
324	2409	5003
325	2416	4995
326	2423	4987
327	2431	4980
328	2439	4974
329	2446	4967
330	2453	4959
331	2461	4952
332	2469	4945
333	2478	4941
334	2486	4934
335	2494	4929
336	2503	4924
337	2510	4917
338	2517	4909
339	2526	4904
340	2535	4900
341	2544	4895
342	2552	4889
343	2560	4882
344	2568	4876
345	2575	4868
346	2582	4859
347	2589	4852
348	2596	4843
349	2603	4835
350	2611	4829
351	2619	4822
352	2627	4815
353	2635	4809
354	2642	4801
355	2649	4793
356	2658	4787
357	2666	4781
358	2674	4775
359	2682	4768
360	2689	4760
361	2695	4751
362	2702	4742
363	2710	4736
364	2718	4730
365	2727	4724
366	2734	4717
367	2742	4710
368	2749	4702
369	2758	4696
370	2766	4689
371	2774	4683
372	2782	4677
373	2789	4669
374	2796	4661
375	2803	4652
376	2811	4646
377	2818	4638
378	2825	4628
379	2830	4618
380	2837	4610
381	2845	4603
382	2852	4595
383	2859	4587
384	2866	4578
385	2873	4571
386	2882	4566
387	2889	4557
388	2896	4548
389	2903	4541
390	2910	4532
391	2916	4524
392	2923	4515
393	2931	4509
394	2939	4501
395	2947	4495
396	2954	4487
397	2961	4479
398	2968	4471
399	2977	4466
400	2984	4458
401	2991	4450
402	2999	4443
403	3007	4437
404	3017	4433
405	3027	4429
406	3041	4431
407	3054	4431
408	3069	4435
409	3084	4438
410	3099	4441
411	3111	4440
412	3127	4445
413	3135	4438
414	3143	4431
415	3150	4423
416	3157	4414
417	3164	4405
418	3172	4398
419	3180	4391
420	3188	4384
421	3195	4376
422	3203	4369
423	3210	4361
424	3217	4353
425	3225	4346
426	3232	4338
427	3240	4330
428	3248	4323
429	3256	4317
430	3263	4309
431	3270	4300
432	3277	4291
433	3284	4283
434	3292	4275
435	3298	4267
436	3305	4258
437	3314	4252
438	3321	4244
439	3328	4235
440	3340	4234
441	3353	4234
442	3369	4236
443	3386	4240
444	3393	4232
445	3406	4231
446	3414	4224
447	3421	4215
448	3429	4208
449	3436	4199
450	3444	4193
451	3451	4185
452	3459	4177
453	3466	4169
454	3473	4160
455	3480	4151
456	3488	4144
457	3496	4137
458	3503	4129
459	3510	4121
460	3517	4113
461	3524	4104
462	3531	4096
463	3539	4088
464	3552	4086
465	3561	4081
466	3569	4073
467	3584	4074
468	3598	4073
469	3612	4073
470	3623	4070
471	3638	4070
472	3650	4067
473	3664	4066
474	3676	4062
475	3689	4061
476	3702	4059
477	3714	4055
478	3727	4054
479	3737	4049
480	3746	4042
481	3753	4034
482	3760	4025
483	3770	4019
484	3777	4010
485	3783	4001
486	3791	3993
487	3798	3984
488	3805	3976
489	3811	3967
490	3818	3958
491	3825	3950
492	3833	3942
493	3840	3934
494	3848	3926
495	3855	3918
496	3863	3910
497	3871	3902
498	3878	3894
499	3886	3886
500	3893	3877
501	3902	3871
502	3913	3867
503	3925	3863
504	3933	3855
505	3946	3852
506	3956	3846
507	3962	3837
508	3970	3829
509	3977	3821
510	3987	3815
511	3994	3807
512	4002	3799
513	4009	3790
514	4016	3782
515	4022	3773
516	4032	3767
517	4039	3758
518	4046	3750
519	4052	3741
520	4059	3732
521	4066	3723
522	4073	3715
523	4080	3706
524	4087	3697
525	4093	3688
526	4099	3679
527	4106	3670
528	4112	3661
529	4120	3653
530	4127	3645
531	4133	3636
532	4140	3628
533	4147	3619
534	4154	3611
535	4161	3602
536	4168	3594
537	4176	3586
538	4183	3578
539	4190	3569
540	4198	3561
541	4206	3554
542	4216	3549
543	4226	3542
544	4233	3534
545	4240	3526
546	4248	3518
547	4255	3509
548	4262	3501
549	4268	3492
550	4275	3484
551	4282	3475
552	4289	3466
553	4296	3459
554	4304	3451
555	4310	3442
556	4320	3435
557	4329	3429
558	4337	3422
559	4344	3413
560	4351	3405
561	4360	3398
562	4370	3392
563	4377	3384
564	4386	3377
565	4393	3368
566	4400	3360
567	4407	3352
568	4415	3344
569	4422	3336
570	4429	3328
571	4440	3322
572	4448	3314
573	4455	3306
574	4465	3300
575	4473	3292
576	4481	3285
577	4490	3278
578	4503	3274
579	4516	3270
580	4529	3266
581	4543	3263
582	4553	3256
583	4563	3250
584	4572	3243
585	4580	3236
586	4589	3229
587	4599	3222
588	4606	3214
589	4614	3206
590	4622	3199
591	4634	3194
592	4648	3190
593	4660	3185
594	4668	3177
595	4675	3169
596	4682	3160
597	4689	3152
598	4697	3144
599	4706	3137
600	4718	3132
601	4735	3130
602	4748	3126
603	4756	3118
604	4763	3110
605	4771	3102
606	4779	3094
607	4786	3086
608	4793	3077
609	4800	3069
610	4807	3060
611	4816	3053
612	4823	3045
613	4830	3036
614	4837	3028
615	4844	3019
616	4852	3012
617	4859	3003
618	4866	2995
619	4874	2987
620	4881	2979
621	4889	2971
622	4896	2963
623	4906	2956
624	4912	2947
625	4919	2939
626	4927	2931
627	4934	2922
628	4942	2915
629	4948	2906
630	4956	2898
631	4962	2889
632	4971	2882
633	4979	2874
634	4987	2867
635	4996	2859
636	5002	2850
637	5009	2842
638	5017	2834
639	5024	2826
640	5031	2817
641	5037	2809
642	5044	2800
643	5051	2792
644	5058	2784
645	5064	2775
646	5072	2767
647	5081	2760
648	5088	2752
649	5094	2743
650	5101	2735
651	5108	2726
652	5115	2718
653	5122	2709
654	5128	2701
655	5138	2694
656	5146	2686
657	5154	2679
658	5161	2670
659	5167	2662
660	5175	2654
661	5181	2645
662	5188	2637
663	5195	2628
664	5201	2620
665	5209	2612
666	5216	2604
667	5222	2595
668	5229	2587
669	5235	2578
