iter	Passed	Remaining
0	1	118
1	2	112
2	3	109
3	4	107
4	5	105
5	6	102
6	7	100
7	8	99
8	9	99
9	10	98
10	12	97
11	13	96
12	14	95
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	20	88
19	21	87
20	22	86
21	24	85
22	25	84
23	26	83
24	27	82
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	34	76
31	35	75
32	36	74
33	37	73
34	39	72
35	40	71
36	41	70
37	42	69
38	44	68
39	45	68
40	47	67
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	44
61	69	42
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	108	3
97	109	2
98	110	1
99	111	0
