Substrate ID,SMILES,sasa_area,sasa_volume,disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,ip,ea,homo,lumo,electrophilicity,nucleophilicity,electrofugality,nucleofugality,dipole_x,dipole_y,dipole_z,mass,radius,charge
1,OC1=C(C([H])=O)C([C@H](C)C(C)=O)=C(C)C(O)=C1C,417.7170007893299,663.1292231821577,286.63766003000916,290.9771646637556,18.46980200959679,44.96257483068692,9.360371892824926,7.8607,0.3293,-0.3820528,-0.2860095,1.1132740924662081,-7.8607,8.973974092466207,0.7839740924662082,-0.49341017,0.80087051,1.30224412,236.26373999999984,4.565801197052634,0
2,OC1=C(C(C)=O)C=C(C)C(O)=C1C,360.5184420938373,540.3913409008566,235.51557157132956,224.87423590956018,17.49804192157663,44.6880151814292,8.919443809013789,8.0147,-0.0873,-0.3794735,-0.2756476,0.9695703338681806,-8.0147,8.98427033386818,1.0568703338681806,-0.85762327,-1.88382273,0.02540959,180.20047999999989,3.9662892033916495,0
3,OC1=CC=CC=C1C([O-])=O,284.5073198153342,401.04514141224166,166.42467867435744,150.5720564137536,17.015458262860435,39.1154491236785,9.094448554821838,9.4967,3.7457,-0.4245353,-0.2953559,3.8115362058772377,-9.4967,13.308236205877238,0.06583620587723867,-2.29847912,0.37827685,0.19446826,137.11279999999996,3.0358223380392735,-1
4,OC1=CC=C(CC([H])=O)C=C1,312.3283995345247,445.1790749364467,195.30929306718244,174.8141779479633,16.71560404984441,41.37680241239961,8.531666345573797,8.2838,-0.6837,-0.3868087,-0.266454,0.805150822553666,-8.2838,9.088950822553667,1.4888508225536659,1.00234664,-1.05539709,-0.75448652,136.14791999999994,3.7907577299459296,0
5,OC1=C(O)C=C(CC[NH3+])C=C1,332.85847445513105,486.1089043851938,216.70924155543426,202.4402757691602,16.910472228782087,45.398934445464945,8.837633442596843,1.8848,-3.5757,-0.1425193,-0.1409318,0.06545057252083142,-1.8848,1.9502505725208317,3.6411505725208317,4.89631089,-0.8138014,0.15992544,154.18637999999987,3.8537213492652733,1
6,[O-]C(C1=CN=C(CO)C=C1)=O,314.0764655252715,447.66009131397516,187.72603729517735,169.82289174114433,16.764386633467375,37.352487639542716,9.242202629940365,9.2652,3.6149,-0.4235498,-0.3127789,3.6700922077146347,-9.2652,12.935292207714637,0.05519220771463459,-1.6706325,-0.69170043,0.81002854,152.12743999999992,3.6095468851429304,-1
7,[O-]C(/C=C/C1=CC(OC)=CC(OC)=C1)=O,418.3575554447415,622.6468995873689,269.1271144715856,250.35182787730147,17.481024158500073,41.390729258490126,8.173932110441553,8.4165,3.3103,-0.4062473,-0.3024877,3.366442712780541,-8.4165,11.782942712780542,0.05614271278054132,2.8043988,2.40351594,0.23269211,207.2026399999999,5.186216630722457,-1
8,OC1=C(C)C(O)=C(C([H])=O)C(C)=C1,334.6881488227387,495.19642519139484,214.31550846664757,202.39942306174012,17.371749246886317,46.449415672450684,9.027340134314052,8.184,0.0935,-0.3855112,-0.2854513,1.0586027787219578,-8.184,9.24260277872196,0.9651027787219578,-0.35527881,-0.38234544,1.86538618,166.17389999999992,3.450152826262387,0
9,O=CC1=C(Br)C=C(OC)C(C)=C1OC,392.40098113374313,600.3821614764656,264.38595236116896,255.21697535426773,18.550724576341327,43.976396111190674,8.482216598226358,8.289,0.5606,-0.3970562,-0.2961161,1.2666823042285593,-8.289,9.555682304228556,0.7060823042285596,-2.09227233,-1.0476117,0.41321093,259.09654,4.1780978679224585,0
10,OC1=C(C)C([O-])=C(C(C)=O)C=C1,335.4285282668241,496.1919291147508,216.21433117092135,204.8301837769346,17.24278000754626,44.65485051456747,8.792651671896195,8.2211,-0.4212,-0.3805649,-0.2638296,0.8799515176804785,-8.2211,9.101051517680476,1.3011515176804787,1.58243237,1.10985689,0.04500153,166.17389999999992,4.022442682395921,0
