Substrate ID,n_candidates,n_true_enzymes,n_hits,recalled,rank_first_hit,precision,enrichment
409,75,1,1,True,71.0,0.013333333333333334,4.1866666666666665
31,74,1,1,True,39.0,0.013513513513513514,4.243243243243243
74,69,1,0,False,,0.0,0.0
143,133,5,2,True,32.0,0.015037593984962405,0.9443609022556391
56,90,1,0,False,,0.0,0.0
453,66,1,1,True,17.0,0.015151515151515152,4.757575757575758
10,157,19,17,True,10.0,0.10828025477707007,1.7894736842105263
389,128,1,1,True,128.0,0.0078125,2.453125
79,70,8,5,True,2.0,0.07142857142857142,2.8035714285714284
81,58,7,3,True,20.0,0.05172413793103448,2.3201970443349755
75,86,1,1,True,28.0,0.011627906976744186,3.6511627906976742
78,81,7,4,True,25.0,0.04938271604938271,2.2151675485008817
72,65,4,2,True,39.0,0.03076923076923077,2.4153846153846152
420,69,1,1,True,37.0,0.014492753623188406,4.550724637681159
34,134,20,13,True,8.0,0.09701492537313433,1.523134328358209
412,171,1,1,True,8.0,0.005847953216374269,1.8362573099415203
407,147,1,1,True,52.0,0.006802721088435374,2.136054421768707
16,122,3,1,True,89.0,0.00819672131147541,0.8579234972677596
408,119,1,0,False,,0.0,0.0
1,117,1,1,True,87.0,0.008547008547008548,2.683760683760684
20,121,6,6,True,16.0,0.049586776859504134,2.59504132231405
57,80,1,0,False,,0.0,0.0
398,74,1,1,True,20.0,0.013513513513513514,4.243243243243243
394,71,1,1,True,33.0,0.014084507042253521,4.422535211267605
43,93,1,1,True,69.0,0.010752688172043012,3.3763440860215055
23,72,1,0,False,,0.0,0.0
47,85,1,0,False,,0.0,0.0
140,138,7,4,True,22.0,0.028985507246376812,1.3002070393374743
58,129,1,1,True,83.0,0.007751937984496124,2.434108527131783
25,78,1,1,True,53.0,0.01282051282051282,4.0256410256410255
67,85,2,0,False,,0.0,0.0
416,92,1,0,False,,0.0,0.0
404,74,1,1,True,22.0,0.013513513513513514,4.243243243243243
396,71,1,1,True,55.0,0.014084507042253521,4.422535211267605
411,122,1,1,True,56.0,0.00819672131147541,2.5737704918032787
46,84,1,0,False,,0.0,0.0
400,69,1,0,False,,0.0,0.0
359,75,3,0,False,,0.0,0.0
17,95,1,0,False,,0.0,0.0
429,153,8,2,True,109.0,0.013071895424836602,0.5130718954248366
4,135,1,1,True,12.0,0.007407407407407408,2.325925925925926
19,90,2,0,False,,0.0,0.0
444,67,1,1,True,46.0,0.014925373134328358,4.686567164179104
61,116,1,1,True,90.0,0.008620689655172414,2.706896551724138
64,131,2,2,True,67.0,0.015267175572519083,2.396946564885496
30,73,1,1,True,57.0,0.0136986301369863,4.301369863013698
27,67,3,0,False,,0.0,0.0
8,126,31,25,True,1.0,0.1984126984126984,2.0097286226318483
422,80,1,1,True,62.0,0.0125,3.925
401,77,1,0,False,,0.0,0.0
414,120,1,0,False,,0.0,0.0
341,74,1,0,False,,0.0,0.0
77,96,1,0,False,,0.0,0.0
234,74,3,0,False,,0.0,0.0
423,94,2,0,False,,0.0,0.0
357,106,1,1,True,104.0,0.009433962264150943,2.962264150943396
406,80,2,2,True,7.0,0.025,3.925
37,171,1,0,False,,0.0,0.0
60,108,1,1,True,47.0,0.009259259259259259,2.907407407407407
7,100,1,0,False,,0.0,0.0
451,95,3,3,True,23.0,0.031578947368421054,3.305263157894737
449,100,4,4,True,21.0,0.04,3.14
3,170,1,1,True,41.0,0.0058823529411764705,1.8470588235294116
70,63,1,0,False,,0.0,0.0
413,103,1,1,True,64.0,0.009708737864077669,3.048543689320388
