Substrate ID,n_candidates,n_true_enzymes,n_hits,recalled,rank_first_hit,precision,enrichment
409,80,1,1,True,22.0,0.0125,3.925
31,88,1,1,True,5.0,0.011363636363636364,3.568181818181818
74,87,1,1,True,41.0,0.011494252873563218,3.6091954022988504
143,175,5,5,True,12.0,0.02857142857142857,1.7942857142857143
56,113,1,1,True,97.0,0.008849557522123894,2.7787610619469025
453,78,1,1,True,17.0,0.01282051282051282,4.0256410256410255
10,196,19,11,True,12.0,0.05612244897959184,0.9274973147153598
389,130,1,0,False,,0.0,0.0
79,84,8,4,True,3.0,0.047619047619047616,1.8690476190476188
81,68,7,1,True,2.0,0.014705882352941176,0.6596638655462185
75,104,1,0,False,,0.0,0.0
78,96,7,5,True,6.0,0.052083333333333336,2.336309523809524
72,78,4,1,True,42.0,0.01282051282051282,1.0064102564102564
420,82,1,1,True,7.0,0.012195121951219513,3.8292682926829267
34,178,20,9,True,33.0,0.05056179775280899,0.7938202247191011
412,209,1,0,False,,0.0,0.0
407,180,1,1,True,74.0,0.005555555555555556,1.7444444444444445
16,141,3,0,False,,0.0,0.0
408,129,1,1,True,60.0,0.007751937984496124,2.434108527131783
1,145,1,1,True,33.0,0.006896551724137931,2.1655172413793102
20,137,6,6,True,23.0,0.043795620437956206,2.291970802919708
57,92,1,1,True,52.0,0.010869565217391304,3.413043478260869
398,87,1,1,True,86.0,0.011494252873563218,3.6091954022988504
394,86,1,1,True,85.0,0.011627906976744186,3.6511627906976742
43,117,1,0,False,,0.0,0.0
23,82,1,1,True,13.0,0.012195121951219513,3.8292682926829267
47,107,1,1,True,36.0,0.009345794392523364,2.934579439252336
140,160,7,7,True,19.0,0.04375,1.9625
58,140,1,1,True,55.0,0.007142857142857143,2.242857142857143
25,95,1,1,True,1.0,0.010526315789473684,3.3052631578947365
67,105,2,2,True,96.0,0.01904761904761905,2.9904761904761905
416,100,1,0,False,,0.0,0.0
404,102,1,1,True,5.0,0.00980392156862745,3.0784313725490193
396,86,1,1,True,32.0,0.011627906976744186,3.6511627906976742
411,131,1,1,True,70.0,0.007633587786259542,2.396946564885496
46,105,1,1,True,100.0,0.009523809523809525,2.9904761904761905
400,81,1,1,True,52.0,0.012345679012345678,3.8765432098765427
359,86,3,1,True,51.0,0.011627906976744186,1.2170542635658914
17,98,1,1,True,92.0,0.01020408163265306,3.204081632653061
429,175,8,0,False,,0.0,0.0
4,157,1,1,True,62.0,0.006369426751592357,2.0
19,100,2,2,True,88.0,0.02,3.14
444,81,1,1,True,32.0,0.012345679012345678,3.8765432098765427
61,122,1,1,True,3.0,0.00819672131147541,2.5737704918032787
64,136,2,1,True,31.0,0.007352941176470588,1.1544117647058822
30,88,1,1,True,1.0,0.011363636363636364,3.568181818181818
27,78,3,3,True,49.0,0.038461538461538464,4.025641025641026
8,148,31,26,True,6.0,0.17567567567567569,1.7794245858761988
422,110,1,1,True,17.0,0.00909090909090909,2.854545454545454
401,98,1,1,True,91.0,0.01020408163265306,3.204081632653061
414,121,1,0,False,,0.0,0.0
341,84,1,0,False,,0.0,0.0
77,117,1,1,True,29.0,0.008547008547008548,2.683760683760684
234,78,3,2,True,20.0,0.02564102564102564,2.683760683760684
423,104,2,0,False,,0.0,0.0
357,104,1,0,False,,0.0,0.0
406,91,2,1,True,21.0,0.01098901098901099,1.7252747252747254
37,209,1,1,True,94.0,0.004784688995215311,1.5023923444976075
60,131,1,1,True,45.0,0.007633587786259542,2.396946564885496
7,113,1,0,False,,0.0,0.0
451,124,3,3,True,1.0,0.024193548387096774,2.532258064516129
449,94,4,0,False,,0.0,0.0
3,209,1,1,True,161.0,0.004784688995215311,1.5023923444976075
70,74,1,0,False,,0.0,0.0
413,132,1,1,True,41.0,0.007575757575757576,2.378787878787879
