substrate_id,true_enzyme_count,candidate_count,found_true_enzymes,candidate_recall
409,1,80,1,1.0
31,1,88,1,1.0
74,1,87,1,1.0
143,5,175,5,1.0
56,1,113,1,1.0
453,1,78,1,1.0
10,19,196,11,0.5789473684210527
389,1,130,0,0.0
79,8,84,4,0.5
81,7,68,1,0.14285714285714285
75,1,104,0,0.0
78,7,96,5,0.7142857142857143
72,4,78,1,0.25
420,1,82,1,1.0
34,20,178,9,0.45
412,1,209,0,0.0
407,1,180,1,1.0
16,3,141,0,0.0
408,1,129,1,1.0
1,1,145,1,1.0
20,6,137,6,1.0
57,1,92,1,1.0
398,1,87,1,1.0
394,1,86,1,1.0
43,1,117,0,0.0
23,1,82,1,1.0
47,1,107,1,1.0
140,7,160,7,1.0
58,1,140,1,1.0
25,1,95,1,1.0
67,2,105,2,1.0
416,1,100,0,0.0
404,1,102,1,1.0
396,1,86,1,1.0
411,1,131,1,1.0
46,1,105,1,1.0
400,1,81,1,1.0
359,3,86,1,0.3333333333333333
17,1,98,1,1.0
429,8,175,0,0.0
4,1,157,1,1.0
19,2,100,2,1.0
444,1,81,1,1.0
61,1,122,1,1.0
64,2,136,1,0.5
30,1,88,1,1.0
27,3,78,3,1.0
8,31,148,26,0.8387096774193549
422,1,110,1,1.0
401,1,98,1,1.0
414,1,121,0,0.0
341,1,84,0,0.0
77,1,117,1,1.0
234,3,78,2,0.6666666666666666
423,2,104,0,0.0
357,1,104,0,0.0
406,2,91,1,0.5
37,1,209,1,1.0
60,1,131,1,1.0
7,1,113,0,0.0
451,3,124,3,1.0
449,4,94,0,0.0
3,1,209,1,1.0
70,1,74,0,0.0
413,1,132,1,1.0
