substrate_id,true_enzyme_count,candidate_count,found_true_enzymes,candidate_recall
409,1,68,1,1.0
31,1,74,1,1.0
74,1,63,0,0.0
143,5,125,3,0.6
56,1,87,1,1.0
453,1,64,0,0.0
10,19,160,10,0.5263157894736842
389,1,114,1,1.0
79,8,54,2,0.25
81,7,45,6,0.8571428571428571
75,1,83,0,0.0
78,7,72,5,0.7142857142857143
72,4,55,0,0.0
420,1,55,1,1.0
34,20,129,7,0.35
412,1,172,1,1.0
407,1,134,1,1.0
16,3,114,0,0.0
408,1,113,1,1.0
1,1,108,1,1.0
20,6,114,5,0.8333333333333334
57,1,66,0,0.0
398,1,63,1,1.0
394,1,61,1,1.0
43,1,88,1,1.0
23,1,61,1,1.0
47,1,83,1,1.0
140,7,133,5,0.7142857142857143
58,1,116,1,1.0
25,1,75,1,1.0
67,2,87,2,1.0
416,1,73,0,0.0
404,1,75,1,1.0
396,1,61,1,1.0
411,1,110,1,1.0
46,1,74,1,1.0
400,1,48,1,1.0
359,3,60,0,0.0
17,1,80,1,1.0
429,8,156,1,0.125
4,1,125,1,1.0
19,2,71,2,1.0
444,1,50,1,1.0
61,1,96,1,1.0
64,2,111,2,1.0
30,1,74,1,1.0
27,3,51,1,0.3333333333333333
8,31,120,27,0.8709677419354839
422,1,85,1,1.0
401,1,65,1,1.0
414,1,106,0,0.0
341,1,49,0,0.0
77,1,80,1,1.0
234,3,69,1,0.3333333333333333
423,2,87,0,0.0
357,1,75,1,1.0
406,2,58,2,1.0
37,1,170,1,1.0
60,1,108,1,1.0
7,1,87,0,0.0
451,3,82,3,1.0
449,4,65,0,0.0
3,1,170,1,1.0
70,1,66,0,0.0
413,1,100,1,1.0
