iterations,depth,f_embedding_similarity
10.0,1.0,0.0111739968450466
10.0,2.0,0.0054136777410791
10.0,5.0,0.0161017475124592
10.0,6.0,0.0166908561946179
10.0,8.0,0.0250034116546666
50.0,1.0,0.0276431661717763
50.0,2.0,0.0245887219470704
50.0,5.0,0.0434571776829967
50.0,6.0,0.0486998185265947
50.0,8.0,0.0721904360126822
100.0,1.0,0.0443281311081106
100.0,2.0,0.0405717250297129
100.0,5.0,0.0596406020697407
100.0,6.0,0.0821141715436575
100.0,8.0,0.0985359949078104
500.0,1.0,0.0683329967570083
500.0,2.0,0.078740834558134
500.0,5.0,0.1465596540345796
500.0,6.0,0.1364768835910595
500.0,8.0,0.1043289418517022
1000.0,1.0,0.0871947628677194
1000.0,2.0,0.1213551868290598
1000.0,5.0,0.1440744756658739
1000.0,6.0,0.1126527824373945
1000.0,8.0,0.0695699910260963
