iter	Passed	Remaining
0	7	7954
1	14	7277
2	20	6714
3	25	6452
4	31	6350
5	38	6296
6	43	6214
7	49	6128
8	55	6079
9	60	6030
10	67	6111
11	73	6053
12	79	6047
13	85	5996
14	90	5967
15	96	5945
16	103	5975
17	109	5962
18	114	5936
19	120	5902
20	126	5874
21	131	5867
22	137	5849
23	144	5856
24	149	5829
25	155	5820
26	161	5803
27	166	5788
28	172	5778
29	178	5761
30	183	5749
31	189	5741
32	195	5736
33	201	5724
34	207	5711
35	213	5706
36	218	5696
37	224	5688
38	230	5676
39	236	5669
40	242	5667
41	248	5674
42	255	5676
43	261	5670
44	267	5675
45	273	5669
46	280	5692
47	286	5686
48	292	5678
49	298	5673
50	304	5662
51	310	5657
52	316	5647
53	321	5634
54	327	5629
55	333	5627
56	339	5622
57	347	5644
58	359	5728
59	368	5775
60	379	5845
61	388	5884
62	394	5869
63	401	5875
64	411	5914
65	420	5955
66	430	5996
67	440	6041
68	450	6074
69	459	6109
70	468	6136
71	476	6135
72	482	6126
73	488	6108
74	494	6092
75	499	6077
76	505	6062
77	511	6050
78	517	6032
79	524	6036
80	531	6034
81	539	6037
82	545	6023
83	551	6011
84	558	6006
85	564	5996
86	570	5983
87	577	5979
88	584	5987
89	594	6008
90	601	6004
91	607	5991
92	614	5995
93	623	6012
94	633	6030
95	642	6051
96	652	6072
97	658	6058
98	666	6063
99	672	6050
100	681	6066
101	691	6085
102	701	6106
103	710	6121
104	716	6107
105	722	6090
106	731	6104
107	741	6128
108	750	6132
109	758	6134
110	765	6131
111	771	6117
112	779	6118
113	785	6104
114	793	6109
115	800	6098
116	806	6083
117	812	6076
118	818	6060
119	824	6046
120	830	6031
121	836	6017
122	842	6004
123	848	5993
124	854	5978
125	859	5962
126	865	5948
127	871	5937
128	878	5931
129	886	5935
130	895	5937
131	903	5938
132	910	5937
133	916	5925
134	925	5930
135	931	5915
136	937	5902
137	943	5891
138	948	5878
139	955	5867
140	962	5863
141	970	5861
142	976	5850
143	982	5842
144	988	5830
145	995	5823
146	1002	5815
147	1009	5808
148	1014	5796
149	1020	5783
150	1026	5770
151	1032	5758
152	1037	5745
153	1043	5733
154	1049	5721
155	1054	5707
156	1060	5694
157	1066	5681
158	1072	5672
159	1078	5662
160	1085	5654
161	1091	5647
162	1097	5636
163	1105	5637
164	1111	5625
165	1117	5614
166	1123	5604
167	1129	5594
168	1137	5593
169	1144	5587
170	1150	5577
171	1157	5571
172	1163	5563
173	1169	5550
174	1175	5541
175	1181	5533
176	1188	5525
177	1194	5516
